,PSC [-],DAC [-],CCU methanol production [Mt]
CAZ,0.001329512,0.997800846,0.604555886
CHA,0.039303937,0.992810408,5.466782243
EUR,0.159640164,0.938028322,2.576018089
IND,0.000384333,0.999872869,3.023129181
JPN,0.00185227,0.996154703,0.481697471
LAM,0.001180956,0.999379669,1.903750858
MEA,0.006601548,0.997719314,2.89454432
NEU,0.010379074,0.969504112,0.340343385
OAS,0.022795887,0.994457228,4.112722977
REF,0.295861546,0.708678764,1.015585233
SSA,0.003629837,0.99830992,2.147730488
USA,0.012961229,0.995646769,2.977381277
