s2,Constraint Values
-0.1,1.147368421
-0.085858586,1.133971292
-0.071717172,1.120574163
-0.057575758,1.107177033
-0.043434343,1.093779904
-0.029292929,1.080382775
-0.015151515,1.066985646
-0.001010101,1.053588517
0.013131313,1.040191388
0.027272727,1.026794258
0.041414141,1.013397129
0.055555556,1
0.06969697,0.986602871
0.083838384,0.973205742
0.097979798,0.959808612
0.112121212,0.946411483
0.126262626,0.933014354
0.14040404,0.919617225
0.154545455,0.906220096
0.168686869,0.892822967
0.182828283,0.879425837
0.196969697,0.866028708
0.211111111,0.852631579
0.225252525,0.83923445
0.239393939,0.825837321
0.253535354,0.812440191
0.267676768,0.799043062
0.281818182,0.785645933
0.295959596,0.772248804
0.31010101,0.758851675
0.324242424,0.745454545
0.338383838,0.732057416
0.352525253,0.718660287
0.366666667,0.705263158
0.380808081,0.691866029
0.394949495,0.6784689
0.409090909,0.66507177
0.423232323,0.651674641
0.437373737,0.638277512
0.451515152,0.624880383
0.465656566,0.611483254
0.47979798,0.598086124
0.493939394,0.584688995
0.508080808,0.571291866
0.522222222,0.557894737
0.536363636,0.544497608
0.550505051,0.531100478
0.564646465,0.517703349
0.578787879,0.50430622
0.592929293,0.490909091
0.607070707,0.477511962
0.621212121,0.464114833
0.635353535,0.450717703
0.649494949,0.437320574
0.663636364,0.423923445
0.677777778,0.410526316
0.691919192,0.397129187
0.706060606,0.383732057
0.72020202,0.370334928
0.734343434,0.356937799
0.748484848,0.34354067
0.762626263,0.330143541
0.776767677,0.316746411
0.790909091,0.303349282
0.805050505,0.289952153
0.819191919,0.276555024
0.833333333,0.263157895
0.847474747,0.249760766
0.861616162,0.236363636
0.875757576,0.222966507
0.88989899,0.209569378
0.904040404,0.196172249
0.918181818,0.18277512
0.932323232,0.16937799
0.946464646,0.155980861
0.960606061,0.142583732
0.974747475,0.129186603
0.988888889,0.115789474
1.003030303,0.102392344
1.017171717,0.088995215
1.031313131,0.075598086
1.045454545,0.062200957
1.05959596,0.048803828
1.073737374,0.035406699
1.087878788,0.022009569
1.102020202,0.00861244
1.116161616,-0.004784689
1.13030303,-0.018181818
1.144444444,-0.031578947
1.158585859,-0.044976077
1.172727273,-0.058373206
1.186868687,-0.071770335
1.201010101,-0.085167464
1.215151515,-0.098564593
1.229292929,-0.111961722
1.243434343,-0.125358852
1.257575758,-0.138755981
1.271717172,-0.15215311
1.285858586,-0.165550239
1.3,-0.178947368
