,Biomass CCS,Biomass,Solar,Wind,Geothermal,Hydro,Nuclear,Coal CCS,Gas CCS,Coal,Gas,Oil
2005,0,0.8512264,0.013955,0.3932954,0.2178749,10.7179311,10.3783996,0,0,26.8346743,13.8385286,3.8950205
2010,0,1.1822644,0.2590422,1.4810254,0.3327168,11.6138853,9.5260676,0,0,29.5068176,17.3191476,3.5728427
2015,0,1.6828095,0.8027888,2.3881494,0.5216395,14.9103571,9.7136932,0,0,31.3903613,19.5085879,2.8521368
2020,0.0020319,2.1927118,3.2496947,5.361988,0.8839117,16.5058129,10.1160476,0.0000154,0.0000054,34.3032527,18.6128219,2.0112989
2025,0.0093106,2.6023377,13.6513545,11.0714504,1.2087111,19.1304258,10.379407,0.0000308,0.0000133,23.7355426,18.4276327,1.2832535
2030,0.0261027,2.8883565,33.7424748,19.3001009,1.3570133,19.8908401,10.5075363,0.0000396,0.0000194,18.7079285,16.5424635,0.4397176
2035,0.0455455,2.8294561,54.4389039,29.7048315,1.3649288,20.3211423,10.436103,0.0000616,0.0000289,13.9165966,13.348473,0.0000096
2040,0.0532524,2.5726373,73.8922036,40.3752487,1.325043,20.510817,10.0303327,0.0000748,0.0000341,6.4382045,10.2561904,0.0000096
2045,0.052587,2.1998506,94.0689989,53.4782097,1.2852142,20.5127382,9.2030514,0.000075,0.0000338,1.4952385,8.0270966,0.0000096
2050,0.051138,1.7838661,117.1387158,69.6473425,1.2075243,20.3963631,8.4449803,0.0000745,0.0015003,0.3927797,6.3770888,0.0000096
2055,0.0484097,1.3744372,145.9849709,88.8084552,1.0817579,20.1833144,7.8005341,0.0000738,0.009057,0.0628898,4.8775095,0.0000108
2060,0.0437796,0.9466229,181.1956433,110.4074083,0.954404,19.9233904,7.1421946,0.0000732,0.0287931,0.0026956,3.9948996,0.0000096
2070,0.0261889,0.2535039,263.2809417,154.5503491,0.7524736,19.3171244,5.6019076,0.0039805,0.1465052,0.0002416,3.3217654,0.0000096
2080,0.0040296,0.0029268,344.1548503,186.4481248,0.4405332,18.7341169,3.4299212,0.0345884,0.382922,0.0000711,2.5012848,0.0000096
2090,0.0000286,0.0000468,399.6633861,207.8933723,0.1710839,18.4563865,1.5187981,0.1365133,0.6648665,0.000066,1.5190291,0.0000096
2100,0.0000261,0.0000366,423.453959,216.82991,0.1155367,18.0238741,0.4083514,0.3516135,0.8637692,0.0000087,0.6406424,0.000007
