,PkBudg500 (1.5ºC) [EJ],NDC (2.0ºC) [EJ] ,Base (3.5ºC) [EJ]
Biomass CCS,0.7715471,0.0532524,0
Biomass,2.2425908,2.5726373,1.8194219
Solar,89.0383259,73.8922036,47.2406213
Wind,50.0290243,40.3752487,21.718919
Geothermal,1.4398743,1.325043,1.4552747
Hydro,21.5113622,20.510817,20.9604673
Nuclear,12.6282153,10.0303327,8.153492
Coal CCS,0.0000748,0.0000748,0.0000374
Gas CCS,0.000044,0.0000341,0
Coal,0.002678062,6.031076069,19.47027374
Coal CCU,0.001931438,0.407128431,0.963127565
Gas,0.671100835,9.607626548,25.53495527
Gas CCU,0.484003065,0.648563852,1.263126529
Oil,0.0000096,0.0000096,0.0000097
